fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.652142299999999992e-03	1.901989999999999996e-04
6.343750000000000000e+04	1.020992193000000020e-01	5.256089299999999916e-03
1.258750000000000000e+05	2.018178105000000000e-01	5.627141199999999635e-03
1.883125000000000000e+05	2.964710421000000262e-01	1.656206470000000028e-02
2.507500000000000000e+05	3.875680827999999911e-01	1.330629950000000034e-02
3.131875000000000000e+05	4.696033043000000240e-01	2.684553229999999888e-02
3.756250000000000000e+05	5.659926470999999681e-01	3.121325520000000145e-02
4.380625000000000000e+05	6.489923747000000409e-01	3.260033379999999897e-02
5.005000000000000000e+05	7.458129085000000380e-01	2.920839269999999863e-02
5.629375000000000000e+05	8.245620006999999640e-01	3.414113929999999797e-02
6.253750000000000000e+05	9.051856391000000501e-01	3.306078660000000280e-02
6.878125000000000000e+05	9.869984567999999792e-01	3.171202909999999708e-02
7.502500000000000000e+05	1.068019244700000092e+00	8.254332399999999778e-03
8.126875000000000000e+05	1.146947621600000078e+00	2.644696510000000070e-02
8.751250000000000000e+05	1.222891702999999941e+00	2.807316090000000139e-02
9.375625000000000000e+05	1.310228304300000035e+00	1.550831280000000006e-02
1.000000000000000000e+06	1.351345769799999985e+00	5.036582629999999949e-02
2.580645161299999803e+06	2.789987291200000108e+00	5.658083629999999947e-02
4.161290322600000538e+06	3.780217411000000194e+00	1.727075449999999901e-02
5.741935483900000341e+06	4.574375907800000363e+00	4.868777380000000043e-02
7.322580645200000145e+06	5.312093772699999938e+00	4.469954200000000183e-02
8.903225806500000879e+06	5.928887527199999674e+00	7.049424310000000637e-02
1.048387096770000085e+07	6.540711238200000111e+00	5.095174759999999969e-02
1.206451612900000066e+07	7.076243645599999965e+00	2.710671539999999838e-02
1.364516129030000046e+07	7.565954066799999822e+00	5.888871410000000306e-02
1.522580645160000026e+07	7.997964324599999841e+00	4.104590209999999656e-02
1.680645161290000007e+07	8.408971042099999238e+00	9.239593529999999555e-02
1.838709677419999987e+07	8.749044571500000700e+00	5.460971059999999988e-02
1.996774193549999967e+07	9.100512890299999214e+00	2.037402899999999836e-02
2.154838709679999948e+07	9.362572621600000033e+00	7.915971439999999748e-02
2.312903225809999928e+07	9.661360747999999887e+00	5.783037659999999691e-02
2.470967741939999908e+07	9.881735657200000134e+00	3.069738979999999881e-02
2.629032258060000092e+07	1.013232570809999977e+01	4.864025660000000084e-02
2.787096774190000072e+07	1.033943128179999960e+01	7.146672460000000338e-02
2.945161290320000052e+07	1.053433188089999994e+01	7.418803009999999643e-02
3.103225806450000033e+07	1.070277096949999951e+01	9.717714260000000215e-02
3.261290322580000013e+07	1.088543936089999953e+01	8.748171799999999304e-03
3.419354838710000366e+07	1.104629402690000006e+01	6.742649420000000615e-02
3.577419354839999974e+07	1.122907135079999996e+01	3.281485449999999721e-02
3.735483870970000327e+07	1.133524872909999992e+01	9.547240649999999551e-02
3.893548387099999934e+07	1.148747049750000038e+01	5.683172949999999723e-02
4.051612903230000287e+07	1.162343863469999938e+01	7.074082499999999329e-02
4.209677419349999726e+07	1.172662944810000063e+01	4.450740050000000225e-02
4.367741935480000079e+07	1.187777777780000044e+01	4.924558500000000144e-02
4.525806451609999686e+07	1.198447712419999966e+01	5.691853420000000247e-02
4.683870967740000039e+07	1.209967774150000075e+01	1.721299979999999993e-02
4.841935483869999647e+07	1.222007534499999970e+01	6.564768830000000666e-02
5.000000000000000000e+07	1.232443491289999926e+01	3.607333549999999778e-02
