pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	8.088888889999999721e-02	9.312145299999999640e-03
6.343750000000000000e+04	4.998777777799999988e+00	2.573381308000000089e-01
1.258750000000000000e+05	9.881000000000000227e+00	2.755048339999999762e-01
1.883125000000000000e+05	1.451522222220000025e+01	8.108786881999999752e-01
2.507500000000000000e+05	1.897533333330000005e+01	6.514764239000000456e-01
3.131875000000000000e+05	2.299177777779999943e+01	1.314357262099999923e+00
3.756250000000000000e+05	2.771099999999999852e+01	1.528200975699999908e+00
4.380625000000000000e+05	3.177466666669999995e+01	1.596112344800000082e+00
5.005000000000000000e+05	3.651500000000000057e+01	1.430042907100000038e+00
5.629375000000000000e+05	4.037055555559999931e+01	1.671550178700000000e+00
6.253750000000000000e+05	4.431788888890000067e+01	1.618656110799999936e+00
6.878125000000000000e+05	4.832344444440000331e+01	1.552620946200000018e+00
7.502500000000000000e+05	5.229022222220000060e+01	4.041321138000000257e-01
8.126875000000000000e+05	5.615455555559999823e+01	1.294843410099999925e+00
8.751250000000000000e+05	5.987277777780000321e+01	1.374461959800000077e+00
9.375625000000000000e+05	6.414877777780000656e+01	7.592869949999999646e-01
1.000000000000000000e+06	6.616188888889999475e+01	2.465910855200000196e+00
2.580645161299999803e+06	1.365977777777999904e+02	2.770197746700000074e+00
4.161290322600000538e+06	1.850794444443999964e+02	8.455761421999999916e-01
5.741935483900000341e+06	2.239614444444000014e+02	2.383753405099999778e+00
7.322580645200000145e+06	2.600801111110999955e+02	2.188489574400000137e+00
8.903225806500000879e+06	2.902783333332999973e+02	3.451398142199999963e+00
1.048387096770000085e+07	3.202332222222000269e+02	2.494597560299999905e+00
1.206451612900000066e+07	3.464528888889000200e+02	1.327144786300000101e+00
1.364516129030000046e+07	3.704291111110999850e+02	2.883191441600000182e+00
1.522580645160000026e+07	3.915803333333000182e+02	2.009607369099999818e+00
1.680645161290000007e+07	4.117032222221999973e+02	4.523704993099999960e+00
1.838709677419999987e+07	4.283532222221999746e+02	2.673691432600000084e+00
1.996774193549999967e+07	4.455611111110999900e+02	9.975124616999999638e-01
2.154838709679999948e+07	4.583915555556000072e+02	3.875659618899999881e+00
2.312903225809999928e+07	4.730202222222000046e+02	2.831375236199999978e+00
2.470967741939999908e+07	4.838097777777999795e+02	1.502944205199999939e+00
2.629032258060000092e+07	4.960786666666999736e+02	2.381426960999999842e+00
2.787096774190000072e+07	5.062185555556000054e+02	3.499010837300000176e+00
2.945161290320000052e+07	5.157608888889000127e+02	3.632245953500000013e+00
3.103225806450000033e+07	5.240076666666999472e+02	4.757792900400000136e+00
3.261290322580000013e+07	5.329511111110999764e+02	4.283104910000000154e-01
3.419354838710000366e+07	5.408265555555999526e+02	3.301201158100000033e+00
3.577419354839999974e+07	5.497753333332999546e+02	1.606615274900000001e+00
3.735483870970000327e+07	5.549737777778000236e+02	4.674329021600000189e+00
3.893548387099999934e+07	5.624265555555999754e+02	2.782481475300000007e+00
4.051612903230000287e+07	5.690835555556000145e+02	3.463470791799999837e+00
4.209677419349999726e+07	5.741357777777999445e+02	2.179082330399999989e+00
4.367741935480000079e+07	5.815359999999999445e+02	2.411063839700000155e+00
4.525806451609999686e+07	5.867599999999999909e+02	2.786731436400000206e+00
4.683870967740000039e+07	5.924002222222000000e+02	8.427484723999999483e-01
4.841935483869999647e+07	5.982948888889000045e+02	3.214110817299999923e+00
5.000000000000000000e+07	6.034043333332999737e+02	1.766150504699999901e+00
